uniprot_id
O95164
Q9UPQ0
P54707
O60880
Q9H511
Q9UHC1
Q5T8A7
O95199
O95772
Q58FF6
Q13618
P24043
Q8NHP7
P48444
Q86V20
Q9H521
Q6IFH4
Q9UKJ8
Q9BRQ8
Q15139
